Individual,NFKBIA,p65,ANT2,NOX2,SOD2,UCP2,MT-CYB,MT-ND1,MT-ND4,MT-RNR1,MT-RNR2,DRP1,MFN2,NFE2L2,OPA1,TFAM
121,0.5283,2.1216,1.08E+00,1.4954,0.8067,1.1858,2.63E+00,1.1602,1.0303,0.6894,0.9883,1.2684,1.93464,0.74605,0.80491,0.85926
127,3.5783,0.2258,1.42E+00,1.338,2.4905,1.0153,1.07E+00,2.5575,5.6877,3.3968,2.6928,2.34858,0.39925,3.86353,NaN,3.72612
128,8.5923,0.3263,1.76E+00,0.2371,6.0275,1.1795,1.76E+00,5.0527,7.5714,5.4203,3.5029,1.6072,0.20779,1.54304,2.37171,2.63196
133,6.4902,0.3398,1.5959,0.0586,1.4811,2.9739,2.22E-01,1.1652,0.6949,0.6666,0.7816,0.95164,2.14831,NaN,49.83338,NaN
134,3.643,4.4202,0.4803,0.519,0.8967,3.0622,1.28E-01,0.5389,0.3758,0.3867,0.2473,0.73909,1.75848,1.03861,7.59227,NaN
135,7.3338,1.7551,1.31E+00,0.4022,2.0606,3.3775,2.35E-01,1.2556,1.1086,1.054,0.8704,1.02581,3.98174,0.59169,22.75571,NaN
136,6.2318,0.8374,1.18E+00,0.3759,0.726,2.0947,1.33E-01,0.7148,0.3037,0.3231,0.3577,NaN,1.11803,NaN,23.26269,2.02627
138,0.1603,0.5376,1.28E+00,1.2168,0.6158,0.6257,2.86E+00,0.7586,0.6612,0.8336,1.2643,1.33824,0.84839,1.40426,0.94725,1.66207
143,4.6003,0.7932,8.82E-01,1.0711,0.7188,0.5564,1.77E-01,0.4253,0.5905,0.5225,0.5169,0.68204,1.83797,0.34887,0.80139,0.34957
147,0.5568,0.6025,8.81E-01,1.7893,0.3918,0.3463,2.36E-01,0.4647,1.1324,0.6701,0.6597,1.90751,1.18621,1.02109,0.00011,1.45472
148,0.669,0.3188,1.69E+00,0.2324,0.9752,3.7745,6.50E-01,2.2079,2.5245,2.4455,2.547,0.25168,0.48092,0.19495,0.00134,0.5952
149,0.9847,0.8301,9.46E-01,0.6083,0.3786,1.1142,1.86E-01,0.6208,0.7339,0.4018,0.5634,0.14616,1.01026,0.18658,1.06295,0.31252
151,0.9056,0.57,9.15E-01,0.3898,0.4688,0.9932,2.80E-01,1.1191,1.3815,0.5426,0.5995,0.29307,0.46249,0.23206,0.6189,0.33121
154,0.2385,0.6445,1.25E+00,1.6588,0.8296,0.5156,3.11E+00,0.8318,1.1159,0.9773,0.953,3.68872,1.08943,1.47002,2.87096,1.9415
155,0.3815,0.5042,9.69E-01,1.1941,0.6761,0.6626,5.31E-01,1.2141,2.4948,1.6432,1.548,1.25145,1.23953,0.80673,0.01538,1.06383
156,0.1609,1.4355,5.81E-01,1.7389,0.544,0.9338,1.59E+00,0.4082,0.2774,0.499,1.0125,0.60002,1.5804,0.46728,NaN,0.50425
158,4.8662,2.169,8.15E-01,1.1394,1.1815,0.9218,1.89E+00,0.5956,0.4162,0.617,0.703,0.20276,1.4345,1.05827,NaN,0.54504
160,2.4768,0.6914,1.29E+00,1.1406,4.6997,1.072,9.80E+00,2.2272,2.2249,2.2574,2.2957,2.29443,0.92368,3.0726,1.60413,3.58945
162,0.2138,0.9986,9.24E-01,1.0554,0.206,0.8913,2.91E+00,0.6501,0.5081,0.6131,0.772,0.67854,1.18371,0.29266,0.09834,0.82266
166,2.3049,1.5829,5.26E-01,0.6375,0.3548,1.3105,1.33E-01,0.4966,0.4599,0.2005,0.2067,0.27981,2.315,0.41581,3.17263,0.0903
168,1.244,3.8594,8.18E-01,0.5827,0.4503,2.5733,2.10E-01,0.8733,0.9462,0.6077,0.4728,NaN,NaN,NaN,23.36908,NaN
173,6.067,2.1098,1.12E+00,0.39,0.8845,1.4878,3.23E-01,2.0124,0.6777,0.5491,0.7004,NaN,1.03942,1.05373,66.57327,NaN
180,0.2717,1.0501,8.34E-01,0.5469,0.5574,0.7679,1.51E+01,0.343,0.2345,0.5708,1.1724,0.59647,0.89364,0.23732,0.86018,1.16758
181,0.3684,2.9882,1.34E+00,0.472,0.3936,2.5015,2.42E-01,1.2912,0.4475,0.6517,0.4785,NaN,2.44981,0.23085,20.56043,0.36313
