ID	q=0	q=1	q=2
5.0	4.0	2.9999999999999996	3.0
6.0	4.0	2.8717458874925876	2.7777777777777772
7.0	4.0	2.9999999999999996	3.0
11.0	4.0	2.6004900059896596	2.3333333333333335
13.0	4.0	2.586409289858933	2.2727272727272725
15.0	4.0	2.8717458874925876	2.7777777777777772
27.0	4.0	2.9999999999999996	3.0
31.0	4.0	2.9999999999999996	3.0
34.0	4.0	2.9999999999999996	3.0
35.0	4.0	2.7494592739972052	2.571428571428571
37.0	4.0	2.82842712474619	2.6666666666666665
40.0	4.0	2.7494592739972052	2.571428571428571
41.0	4.0	2.82842712474619	2.6666666666666665
44.0	4.0	3.5859888270569535	3.2666666666666666
46.0	4.0	2.586409289858933	2.272727272727273
48.0	4.0	2.7494592739972052	2.571428571428571
50.0	4.0	2.9999999999999996	3.0
56.0	4.0	2.9999999999999996	3.0
57.0	4.0	2.9999999999999996	3.0
58.0	4.0	2.82842712474619	2.6666666666666665
59.0	4.0	2.649351128562104	2.4615384615384617
60.0	4.0	2.82842712474619	2.6666666666666665
61.0	4.0	2.9999999999999996	3.0
62.0	4.0	2.9999999999999996	3.0
63.0	4.0	2.586409289858933	2.2727272727272725
65.0	4.0	2.82842712474619	2.6666666666666665
72.0	4.0	2.6004900059896596	2.3333333333333335
74.0	4.0	2.586409289858933	2.2727272727272725
76.0	4.0	2.82842712474619	2.6666666666666665
77.0	4.0	2.9999999999999996	3.0
78.0	4.0	2.9999999999999996	3.0
79.0	4.0	2.82842712474619	2.6666666666666665
80.0	4.0	3.7892914162759954	3.571428571428571
81.0	4.0	2.9999999999999996	3.0
82.0	4.0	2.82842712474619	2.6666666666666665
84.0	4.0	2.586409289858933	2.2727272727272725
85.0	4.0	2.9999999999999996	3.0
86.0	4.0	2.9999999999999996	3.0
87.0	4.0	2.9999999999999996	3.0
88.0	4.0	2.82842712474619	2.6666666666666665
92.0	4.0	3.1803385212361994	2.682539682539683
94.0	4.0	2.8717458874925876	2.7777777777777772
95.0	4.0	2.82842712474619	2.6666666666666665
96.0	4.0	2.9999999999999996	3.0
99.0	4.0	2.9999999999999996	3.0
105.0	4.0	2.82842712474619	2.6666666666666665
106.0	4.0	2.82842712474619	2.6666666666666665
107.0	4.0	3.77976314968462	3.5999999999999996
108.0	4.0	2.9999999999999996	3.0
112.0	4.0	2.82842712474619	2.6666666666666665
113.0	4.0	2.9999999999999996	3.0
114.0	4.0	2.7494592739972052	2.571428571428571
115.0	4.0	2.82842712474619	2.6666666666666665
116.0	4.0	2.82842712474619	2.6666666666666665
118.0	4.0	2.9999999999999996	3.0
120.0	4.0	2.381101577952299	2.0
121.0	4.0	4.0	4.0
127.0	4.0	2.0867794400977164	1.6842105263157894
128.0	4.0	2.586409289858933	2.2727272727272725
133.0	4.0	2.9999999999999996	3.0
134.0	4.0	2.9999999999999996	3.0
135.0	4.0	2.9999999999999996	3.0
136.0	4.0	2.9999999999999996	3.0
138.0	4.0	2.7494592739972052	2.571428571428571
139.0	4.0	4.0	4.0
142.0	4.0	4.0	4.0
143.0	4.0	2.82842712474619	2.6666666666666665
144.0	4.0	2.9999999999999996	3.0
147.0	4.0	3.77976314968462	3.5999999999999996
149.0	4.0	2.82842712474619	2.6666666666666665
151.0	4.0	3.7892914162759954	3.571428571428571
154.0	4.0	2.9999999999999996	3.0
155.0	4.0	2.9999999999999996	3.0
156.0	4.0	2.8717458874925876	2.7777777777777772
158.0	4.0	3.7892914162759954	3.571428571428571
159.0	4.0	2.82842712474619	2.6666666666666665
160.0	4.0	2.82842712474619	2.6666666666666665
162.0	4.0	2.82842712474619	2.6666666666666665
166.0	4.0	2.82842712474619	2.6666666666666665
168.0	4.0	1.8898815748423097	1.7999999999999998
173.0	4.0	2.9999999999999996	3.0
181.0	4.0	2.586409289858933	2.2727272727272725
